,overall,reviewTime,reviewText
279,-1.0,2018,"Update to the horror. Now one of my clients is unhappy because my email throws an unverified alert. I am not using an exchange server and must edit a line of text for SPF on my domain server. I have exhausted all ideas on the web - no luck

Tried to install this on three machines. Install worked on #1 and #2, but Outlook refuses to connect to email on machine 2. Just hangs up. My third, primary, machine was a total disaster. It would not install, so I got remote ""help"" from Microsoft. The first tech screwed it up by editing multiple registries, and renaming folders. After that, it would no longer even return to Office 2010 from a valid DVD. A second tech finally undid enough to get Office 365 working and quickly left me. I then discovered QuickBooks WOULD NO LONGER work thanks to Microsoft. I further discovered they changed my default browser, and left three new programs installed on my machine that I do not want. Further, 36 new ""important updates"" started appearing with windows updater. QuickBooks absolutely would not reinstall or repair from the product DVD. Thank heavens for Revo Uninstaller. It cleaned up QuickBooks remnants enough for me to get it going again. It also removed the three leftover junk programs. Total lost billable time is over eight hours."
1237,0.0,2018,This is a great Bible. I've had one for years that finally fell apart with use so I ordered this one to replace it.  The problem is that the paper is thinner and the words on the reverse side of the paper show through enough to make it difficult to read in many places.
2487,-1.0,2018,can not get it loaded.
2488,-1.0,2018,"Did not integrate well with existing microsoft office documents, had to uninstall."
2489,1.0,2018,"This was the perfect fit for me. My Sample ""word"" program expired and I didn't want to download $100 plus for the current word product.  I only write a few letters during the year and it was just to much money. This gave me the disk so I can install it to any other computer I might have in the future."
2490,-1.0,2018,"The soft ware was almost impossible to install on my computer. I did not like it at all and would have returned it if it had been more expensive, was not worth the time"
5189,1.0,2018,I thought this to be very inexpensive for all that we got.  Great for the you boys for their computer center in our home school.
5190,1.0,2018,"This was the first dash cam I ever bought, and I like it quite a lot. It has all the features you expect of a dash cam and pretty good picture quality. The colors seem to be a bit too dark, but that may be due to the bright sky most days. I only recently had to use it for a claim, but I had no trouble retrieving the necessary video."
5191,1.0,2018,I had a crash earlier this year and the camera saved a lot of discussions later. I was on a three lane one way street on left lane and the guy in middle lane last minute decided to turn left on an intersection. He stated it was my fault as he said I made a late lane change and I ran a red light. Camera cleared that issue as the super high quality of the recording clearly showed I was driving on the lane for quite a while and that there was still 15 sec left of green light. Beats dealing with witnesses that are not reliable.
5192,1.0,2018,"very good computer the intel Dual Core i3-2120 3.3GHz CPU, 4GB DDR3 RAM, 500GB HDD configuration is good enough for light use. The price is amazing"
5193,1.0,2018,"However, after the corn was harvested a few days later, the kids found the lost Syma . It had been run over by a corn picker and was outdoors for a couple days. Had a couple bent rotors, but still works!"
5194,1.0,2018,"I'm a total drone newbie. It's all there in the box.  The manual is the usual Chinese confusion, but everything is described and there are excellent videos on YouTube.  I highly recommend this product for beginners."
5195,1.0,2018,"This drone is great, camera is way better than expected. Extremely happy to have bought this drone.  Will fight winds nicely but is blown around as its so light. Great fun and price"
5196,1.0,2018,This is the second one ive bought from these guys . The product is fantastic value for money and works well.
5197,1.0,2018,"My first cctv in my home, was so easy to set up, now have a second camera and thinking of buying a third, all monitored via my phone using their app"
5198,1.0,2018,Do like the little camera. This app works fantasitc and does the job more than i can imagine. stil to say great camera for the price as it isso easy to set up with an andriod phone
5199,1.0,2018,I buy this ip camera so i can keep an eye on my 3 year old daughter. Its very easy to use just download app and follow instructions. Connect to your internet and the way you go. I like the way you can watch anytime on your phone by clicking the app. It has night vision can rotate with no noise and audio so i can talk to my daughter when she's playing up she thinks its great and talks to the camera. The quality is pretty good both day and night. Amazing little camera.
5200,1.0,2018,"I overall really like this dashcam, its sleek and stays out of the way, plus the excellent video quality. The first unit I had failed on me with a defective battery but rexing replaced it with a new unit after contacting them.."
5201,1.0,2018,"Happy with this purchase so far, will update the review again after owning it for a while."
5202,1.0,2018,"Great deal for the money, the camera quality is great. No regrets at all."
5203,1.0,2018,"I recently had a car accident and thankfully I have Dashboard Camera  and saved me a lot of headache and money. The accident seemed that I was at fault but after CHP review the footage, it showed that I wasn't to be blamed."
5204,1.0,2018,"I bought this Wifi Extender  for my  laptop ... ...This thing very convenient, looks nice and is sold at a very adequate price. I love the fact that now increased internet speed on my laptop and it is HAPPINESS !!!! ... ........THANK'S ...  I very happy!!!... This is what I need ....It really works!  ... Very convenient and Easy to handle!... Definitely recommended  to purchase !!!!...fast delivery. .. Five stars!!!...Thank's..."
5205,1.0,2018,fantastic deal. very fast. great screen. solid laptop. really good.
5206,1.0,2018,"Convertible
Size
HArd drive space
Like everything"
5207,1.0,2018,awesome fast
5208,1.0,2018,"Received in time. Plugged it in and it was automatically recognized by my Win laptop. As I use 2 Wi-Fi networks on my pc and stable internet is critical to me, I use both in-built Wi-Fi receiver module on my laptop and plugging in Wireless USB Adapter. Everything works nicely. Two networks simultaneously."
5209,1.0,2018,This solved a problem with my Wi-fi card which suddenly stopped working. Perfect solution and a lot cheaper. Worked fine and solved my problem. Easy to use and well made. So far a great product.
5210,1.0,2018,"It covers screen barely on sides. Falls bit short on top n bottom too. It may look like large size guy wearing medium size pants. Display is amazingly sharp, stunning and beautiful. It catches No fingerprints. It doesn't create a glare either. Works perfectly in outdoor too. Giving 5 stars only due to size issue. I wish it would be bit larger on all edges. I haven't dropped my phone since applying this screen protector so can't speak for that part. Will see how it goes."
5211,1.0,2018,This adapter works was as described. Very easy to Install and works perfectly. Great price for this item. Great connectivity. Would recommend.
5212,0.0,2018,The WiFi Wireless USB Adapter did not work out of the box with Windows 7. I had to find the model number Ralink RT 5370 and find a driver online. The antenna can only point downward or sideways when plugged into the USB port in the back of my computer.
5213,1.0,2018,"This thing works a treat. Works very well. Very good signal, router downstairs while PC upstairs. Fast download speed. Very happy....."
5214,1.0,2018,This adapter is excellent! Never fails and works great. We have a router upstairs and use up to 5 devices at same time downstairs. Before having this adapter our smart TV could be slow sometimes but now it works perfect! Well made and easy to install. Great value for money spent. Arrived quickly. Very pleased with this purchase! Highly recommended.
5215,1.0,2018,Awesome wifi adapter. Really easy to install. Solved internet connection problems and boosted speed :). Windows 8. Recommended..
5216,1.0,2018,Really is plug and play! Works perfectly with desktop pc on virgin media router.  Easy install.  Easy to use.  Happy with the purchase.
5217,1.0,2018,"Great little item, has done the job of connecting my desktop PC to the wi-fi. This product is absolutely superb. Setup on Windows 10 was immediate and I didn't need to use the disk that was provided. Recommended."
5218,1.0,2018,This a very great wifi adapter. Never loss of signal. Very easy to install on PC(Windows 10). Nice price. I so happy with this. Recommended.
5219,1.0,2018,"Excellent and very good WiFi adapter - super easy to install, literally plug and play. Excellent range and so simple to set up. No complaints whatsoever. Recommended."
5220,1.0,2018,Brilliant. This works perfectly for me. Plug and play if your already online with the pc looking for drivers else usb stick with drivers. All currently working well. Thank you seller. Highly recommended.
5221,1.0,2018,"Bought this for my boyfriend who's laptop struggled to get a connection to the wifi in her flat, this adapter was effective in establishing and maintaining wifi connection. I so happy because this amazing wifi. Recommended."
5222,1.0,2018,"Brilliant.  Windows 10 user, no problems at all, I just had to plug it and that was all. Worked perfectly. Useful product. Good price. Would recommend."
5223,1.0,2018,"Arrived quickly - just as expected & what was needed. Works very well. Easy to set up with windows 10. This tiny thing solved it, now I have full internet speed and no drops; thank you!"
5224,1.0,2018,"Very easy to set up (I just plugged it in) and gives me enough bandwidth to game happily without any issues. It's really convenient and the speed is quite good, I'm using it to instead the original wifi card(broken) in my laptop. Highly recommended!"
5225,1.0,2018,"GREAT! I plugged into back of PC, windows 10 install it automatically (didn't even click anything). I impressing with this. Very cool. I so happy. Recommended."
5226,1.0,2018,"Very good product. Works exactly as expected. No problems, it is very small for what it does. It automatically installed on my windows 10(Plug and play).  Recommended."
5227,1.0,2018,"Excellent product, greatly improved my wifi reception on all equipment. Its just what we needed. Easy to use and set up. I so happy with this. Recommended. Thank you ."
5228,1.0,2018,good signal!!!
5229,1.0,2018,Wifi Adapter works awesome. Just plugged it in(plug and play) start automatic install. Works very well and is quite small and compact. Very happy with this. Recommended.
5230,1.0,2018,Nice product. My old HP just as got a new life. Great signal reception and much better than the dongle I was using!  Works very well from router in different room. Thank
5231,1.0,2018,"Very good adapter, came as expected! Works perfectly so far. Very pleased with this, the plug and play capability made it really simple to install and it picks up wireless signals from router. I highly recommend it!"
5232,1.0,2018,"Very good signal, works great, definitely recommend it!"
5233,1.0,2018,"works as advertised, my MacBook had really weak signal in the basement so I got this wifi network adapter and now it works as is suppose to"
5234,1.0,2018,Excellent product. The order came very quickly. Everything works fine. Easy to install and works perfectly. Very pleased and happy to recommend.
5235,1.0,2018,Perfect wifi adapter. Easy to use and setup. It works at fairly good speeds and is pretty stable. The range and sensitivity marvellous. Would recommend this product to anyone.
5236,1.0,2018,Great product. A+. Easy to install and use. Plug and play with no problems. Keeps the number of wires down in the office. Arrived on time. Thank seller. I so happy with this.
5237,1.0,2018,"Works exactly as described. Easy to install. Very stable signals tested in fully committed working condition, even when quite away from the router. Good quality! Nice product! Would definitely recommend to others."
5238,1.0,2018,"Fantastic product, plug and play instant wi-fi on. Perfect for my tablet. Easy to install and works really well. Well made and high quality. So very pleased with it."
5239,1.0,2018,"Does exactly what it is supposed to do. Works great, provides excellent signal, no need to install any drivers for Windows 10. Plug it in, select the adaptor and it instantly connected. Very easy to use, arrived quickly. All good."
5240,1.0,2018,thanks
16236,1.0,2018,"So far I really Love my cute little Cam. Easy to set up, figure out,been looking for something for my Motorcycle,someone side swiped me and I didn't get any info on them,so I've been looking. This Works nice ,clarity is wonderful ,even in the night. Of course you can't just leave it attached while away, but it's not a problem taking it off when I walk away. What I really like and what's most important is the rear camera."
30936,-1.0,2018,All the reviews are not for the product listed. Amazon needs to straighten this mess out.
30937,-1.0,2018,"So far, I am not impressed. It did arrive quickly, but it does not work for us. I followed the instructions to a ""T"" several times on several devices and it would not connect. I started skeptical because there is no product on Amazon that has 300 reviews and every one is 5 stars. This is literally the 2nd 1-star review (and I think the other person was wise for not purchasing).  I've grown even more skeptical and plan on returning this product unless someone from Opticover is willing to help out."
30938,-1.0,2018,"I looked at purchasing this Router.  However, one has to wonder where these ratings are coming from since some of the reviews, along with the questions folks have asked about the product, do not seem to have anything to do with this product. What's-up Amazon."
30941,1.0,2018,Got this computer today and I got to say I love the small foot print with the tower. So far it seems to work as good as all the rest of the Dell's we have had... I know that this come on in February of 2018 (very new) and I sure hope it is going to be a great computer.
30942,1.0,2018,working well
37688,-1.0,2018,Very expensive.
37689,1.0,2018,Great Deal
41367,1.0,2018,Easy to use I liked that I could edit it when needed
46272,1.0,2018,"did not come in box, but works fine."
46273,-1.0,2018,Ordered this after the earlier version Works in Windows 10 went Kaplooey. This went in easily. Then when I tried to use it I found that it doesn't have Grammar and Spelling. The supposedly worse version did. I looked up fixes on the internet and all information seems to be it can't be fixed. It also doesn't have Help. Debating whether to return it and get Office..Will Office even substitute? Not technical so maybe there is something I don't know about this.
51197,1.0,2018,"Im not sn IT person, but the set up was easy and didn't take very long. All wifi items connected fast after pass word inserted. I would use this company again."
51198,1.0,2018,Very good ..
51199,1.0,2018,This router came highly recommended for my current budget and needs. It was super easy to set up and has far outperformed the router it replaced. Very happy I customer! Excellent product. Good quality. Very useful. Thanks
51200,-1.0,2018,DO NOT BUY. This is a scam product and all of these 5 star reviews are fake. Returning immediately.
51201,1.0,2018,This router works great. The speed it faster and the Ultra HD looks sharper.  The setup instructions are a bit hard to understand.
51202,-1.0,2018,"1. Contrary to the description, it's not high-speed. Only Fast Ethernet.
2. The distance is no longer than 30 feet.
Cheap."
51203,-1.0,2018,"The review that has 5 stars
I really wonder that is real
It doesn't stay connected the whole time
I would not recommend the product"
51204,1.0,2018,perfect device. the only thing that would Make this better? people that actually wait for it to be released and test it themselves before Reviewing it.
68702,1.0,2018,Great stable release of Mac OS X. It's nice to have a physical DVD to do reinstalls from. I use this disk frequently. Fast shipping.
68703,1.0,2018,As describe.
68704,0.0,2018,"No complaints, outdated now."
68705,1.0,2018,Worked perfectly to update an old macbook pro
68706,-1.0,2018,This item is faulty. I followed the steps as instructed by the Apple Store Genius Bar person and this disc was useless. Amazon won't let me return it. Typical...
68707,-1.0,2018,Wen I buy the cd  it was scratch  wen I got
80808,-1.0,2018,"Misleading: Claims instruction is in Spanish, but does not have any keyboard exercises for Spanish characters. Refund request was denied.
Hassle: Download did not work first 2 times; finally company sent me an updated version, that did work. Why did they send me an outdated version in the first place?
Main Menu Instructions: As others have said, confusing from the beginning.
Program: Cute, but not intuitive. May be OK for children who like games.
Solution: Bought Typesy, which offers a more direct method of instruction, and is more appropriate for adults. Like it for its clarity, and intuitive set up of typing exercises."
81729,1.0,2018,"Very easy to set up and the copy is comparable to the original tape video.  The S-Video connection does seem to be sharper that the RCA cable, so spent the extra to get the S-Video cable.  It is so much easier than other options that I have used, including trying to use the VHS to DVD copy machine.  The software is very basic and a bit of disappointment for a Roxio product.  The Windows version has serval editing functions and Mac version just records, though you can split the track after the fact.  I guess, because you can import directing into iMovie, they think that editing tools are not necessary.  No mute button, and you only have a couple of options for setting the length of the recording.  It would be very helpful if you could specify the exact length of the recording, otherwise you have to pay attention to the video or set a timer.  All in all, it does what it says and I will be spending my weekend eliminating the pile of video tapes in my closet.  Bought from Best Buy since they do price matching with products sold and shipped by Amazon.  I haven't had any problems with dependability or quality, but I have only been using it for a day."
81730,1.0,2018,"Product is as expected, it did take an update when I plugged it in and then it started working. Before that it was not wanting to work. Love the fact that I can capture the movies now and use them in iMovie!"
81731,1.0,2018,"Ive tried several different types of software to get my old VHS home videos onto my Mac and none have worked, until now.  This is easy to use, easy to setup and gives great results.  Highly recommended."
83148,1.0,2018,This is the best HDR software program I have tried.  Easy to use and amaziing results!
83149,0.0,2018,Program is good for doing HDR photography...but for a $100.00!  Way to much for the limitations of this program
86538,-1.0,2018,Its Will Ferrells normal stupid acting he trys to be funny but he is not funny at all. Stuid Movie
86539,1.0,2018,"great, thanks."
86540,-1.0,2018,Paused movie and it disappeared only one hour after paying for the download!
86541,1.0,2018,Hilarious
86542,-1.0,2018,Dumb and dumber
86544,1.0,2018,Thank You
86545,1.0,2018,great movie
86546,1.0,2018,Good product
86547,-1.0,2018,terrible.
86548,1.0,2018,I don't recall how well it did critically/financially....but anything with Will Ferrell is an automatic classic in my book. :)
86549,-1.0,2018,Terrible and waste of money
86550,1.0,2018,Funniest movie yet.
86551,1.0,2018,Sooooo Funny!
86552,-1.0,2018,"Corny, cheesy. Not great. Typical Ferrell."
86553,1.0,2018,"This is one of those movies I can see over and over again. Will Ferrell and the small cast do a fantastic job. So funny!
Highly recommend it!"
86554,1.0,2018,Not the best Will Ferrell movie but definitely has some classic scenes and overall an enjoyable movie!
86555,1.0,2018,All time fave of course!!!
86556,1.0,2018,This movie is hilarious love Will and for the price... its a classic.
86557,1.0,2018,"Even though this wasn't a block buster, it is still a fun movie to watch! Danny McBride is hilarious!"
86558,-1.0,2018,Really made me question Will Ferrell's choices in life for participating in this movie.
86559,-1.0,2018,I should've known better.  It's awful.
86560,1.0,2018,Just watch this for Chaka. Do it.
86561,1.0,2018,Will Ferrell can be a bit hit-and-miss in my book with some of his movies. But this one brings me laughter every time that I see it. Great goofy story line with implausible funny situations make this an instant classic. We love watching this again and again. Highly recommended.
86562,-1.0,2018,Such a dumb movie!!!
86563,0.0,2018,"Not Will Ferrell's best film. However, it is still pretty funny."
86564,1.0,2018,Funny funny funny
86565,1.0,2018,I love silly humor and this movie is full of it. I know a lot of people that love this movie like I do. Interesting that Matt Lauer will probably be noticed by future generations from his role in this lol.
86566,1.0,2018,Great movie
86567,0.0,2018,"Had it's good moments, however, a little too corny."
86568,1.0,2018,"I'm iffy on Will Ferrell and was sure I would hate this movie, but my man made me watch it and I laughed my butt off. Now we quote it to each other all the time."
86569,1.0,2018,"3 minutes into the movie and matt lauer is calling will ferrel irresponsible . . . . yeah ok matt, tell that to your career since about a month ago."
86570,0.0,2018,"It's a dumb movie, but the kids like it."
86571,-1.0,2018,"The disc was scratched to hell because of the locking tabs being broken an the disc sliding around,
Its not difficult to tell if the disc is locked in and if not they should be considered damaged product.
I bought extra cases for this reason but i shouldn't have to have done so.  Good movie... Bad quality control."
86572,-1.0,2018,I couldn't see it
86573,0.0,2018,Funny movie
86574,1.0,2018,quick shipping great movie
86575,1.0,2018,"Gave it five stars b/c my 7-year old loved it. Me, not so much"
86576,-1.0,2018,"Waste of money. This was awful. If it hadn't been cheap, I would have been mad at myself for buying it."
86577,1.0,2018,Silly but funny. One of my favorite dvd for vacation. Can be watch with both widescreen or old tv and the picture still come out nice.
86578,1.0,2018,If you love will ferrel comedy and Darby Mcbride youll love this movie.  Makes me laugh every time I watch it.
86579,1.0,2018,Pure Stew-Pid Fun
86580,1.0,2018,Brand new on time5stars
86581,1.0,2018,"Overall a great movie.  Plenty of people have left reviews of this movie, so theres not much else to say about it."
86582,1.0,2018,got for collection
86583,1.0,2018,Weird but fun
86584,1.0,2018,Great movie - wore my first DVD so had to get it again.
86585,-1.0,2018,Item was not new had been unwrapped was a Christmas gift had to give as it was an explain what happened..... not cool
90957,1.0,2018,my daughter really uses it and learning very well
90958,1.0,2018,My kids (9 and 12) love this!
90959,1.0,2018,I cant believe I haven't heard of this software product before! It is fantastic! Graphics and sound are good too. It uses the premise of finding a treasure on an island. You have to earn clues and reach milestones along your route by typing well (both speed and accuracy). Wish I had this when I was a kid.
90960,-1.0,2018,"Sorry, this program wasn't able to grab and keep my kids attention.  Other programs I've seen do much better."
90961,1.0,2018,"I think its great, the kids hate it though, I'm hoping they will keep trying. They said they don't need to know how to type this way..."
90962,1.0,2018,Wonderful program for my 8 year old.  He really enjoys using it to learn to type.  Cute and fun story line as well as games after each lesson.  Works perfect with Windows 10.1
90963,1.0,2018,"So fun, kids love it"
90964,-1.0,2018,"I bought the PC version because of no internet. Misleading product information, as it does require the internet to register and use. Amazon doesn't accept open software returned items, so I can't even send it back to get my money back, but you  don't know that you need the internet until you have already opened the product."
105862,1.0,2018,I love everything about this program. They really put a lot of thought into this. Entering information is straight forward and easy right down to adding photos.
105863,1.0,2018,Haven't used it yet but it looks like what I was used to with Microsoft Office.
105864,1.0,2018,"I needed a program that would print labels. The word processing program installed on my computer just would not print labels. I found this EZ Home & Office software on-line. I am so happy that I did. The program will do more then just print labels and I love the way you can sort the labels. It's easy to use and the support for the program is wonderful. The only tiny problem I have with it is that it won't print envelopes. This has only happened once or twice with other users so it's something peculiar to my printer. I would not let this stop me from purchasing this program again. It is a wonderful program and I am very happy that I have it. Elwood Software is great to work with and gives excellent support. If you are looking for label printing software, give this one a try. I don't think you will regret it."
105865,-1.0,2018,I got the product on time but I do not like the  product.
105866,1.0,2018,Great tool for a small business. I wish they would do upgrades as well.
105868,1.0,2018,"EZ Home & Office was exactly what I was looking for.  I purchased a new computer and did not realize that I had to take out a subscription for Microsoft Office, just to be able to type/print address labels...and that would be the only feature of Microsoft Office I would use.  I searched and found EZ Home & Office and ordered it, installed it, which took about 5 seconds and I have been thrilled with it...it is EXACTLY what I wanted. I would suggest that anyone who does not want a subscription to Microsoft Office purchase this program...I am 100% satisfied and happy with it."
105869,1.0,2018,"Excellent, just what I was looking for.  In early 1990s I used AddressMate, a 16-bit program for Windows 3.1 that came on a diskette (which I still have), but eventually MS Windows later versions stopped supporting 16-bit programs.  Now years later I found this and it is even better and more flexible and usable than my old, old favorite.  Highly recommended.  Valuable to any home office or small business office.  And a great reasonable price.  Use it every day (and I am now 80)."
105870,1.0,2018,Great
105871,-1.0,2018,I was disappointed. I found this clumsy and difficult to use. It was very plain and seemed archaic for the price. I returned it.
105872,1.0,2018,great product for keeping track of people without have to write and re-write changes.  so easy to use
105873,0.0,2018,"I think that anyone purchasing this program should be aware that it is only supported by its author Jeff Elwood. When you receive your disk it includes a hand signed letter from him stating that he wrote the program and uses it daily. When I had an issue early on a Saturday morning with the right border not printing when I printed the Birthday/Anniversary calendar I sent an email to the address provided in the letter. I didn't receive a reply until Tuesday afternoon. The reply apologized for the delay explaining that his daughter was married on Sunday. It also suggested that my problem was likely a printer driver issue not a program problem. I replied that my printer was an older model running in compatibility mode on a newer computer and I asked if there wasn't a way to modify the calendar template so it would print out properly. I thought that since he wrote the program it should be a simple matter for him to make a slight change to the calendar template file and email me a copy. No such luck. Instead, two days later, I received the terse reply of sorry but no."
105874,1.0,2018,I find it easy to use plus it has many features I like.  I updated my address book and printed it for my desk address book and was pleased the way it turned out.
105875,1.0,2018,Well designed address book software. Makes Christmas cards easier.
105876,1.0,2018,Very easy to make labels and to modify them afterwards.
105878,1.0,2018,Havent used the software yet.  Info included seems clear enough
105879,1.0,2018,"Easy to use and can be used for a wide range of things. Address book, birthdays/anniversary reminder, labels, envelopes, You can use one database for Home and the other for Business. This program is great."
105880,1.0,2018,"I have only started using it. Thus far, I have loaded some addresses into the files, but I really like the way it is organized, and laid out. The reports available and the ability to print labels, etc., are just great.  I can't wait to get it finished and try out the various things, such as the address book, and mail merge functions to send out Christmas cards, etc., etc."
108930,1.0,2018,Highly recommend. came on time and easy to download protection to computers.
108931,-1.0,2018,"Do not waste your money.  Worthless customer service.  Product is not very good, told me they don't worry about little viruses only big ones.  You can't catch the little ones, how am I going to trust you with the big ones?  Malwarebytes or avast, both free, are far better than this.  You don't want this, trust me."
108932,-1.0,2018,"Never again, it messed up our computer, deleted drivers that were needed and messed up settings then went rogue and hacked stuff up. What a waste of money and then my time to restore/fix my computer. Buyer beware."
108933,1.0,2018,I bought this product a long time ago...Its kind of have problems in the service dept. But the program seems intuitive and changing over the year. I am beginning to trust this product. more and more. I have been using various firewall and virus scanners forever. Most or crap...and I have had infections while running several programs. And this seems to be the first one that appear to get better over the year.
108934,1.0,2018,"If you have not tried PC M you are missing a very complete utility program, it's fast and very user friendly. I have been using PC M for more then a year and at this point would not even consider changing. And I am very that it is a USA product."
108936,-1.0,2018,"I have used pc matic for the past 2-3 years ( not purchased on amazon ) and never had any issues. Since downloading the product from amazon my pc freezes & has slowed down, Hopefully going to get refund from amazon & get renewal directly from pc matic"
108937,1.0,2018,Loads easy and works well.
108938,1.0,2018,"the real set it and forget it security solftware, I have been using it for four years and all five devices have run smoothly without trouble all this time.well pleased."
108939,1.0,2018,Product worked really well and I feel protected from Malware which really messes up your computer. It also eliminated most of those annoying pop-up ads. Easy to install and scan.
108940,1.0,2018,"I have been using this on 2 machines for over a year and it is awesome. It has cleaned up my laptop, eliminated unwanted programs, and just kept me running smartly"
108941,1.0,2018,"Best PC Anti-virus, and performance software on the market. I have been using this product for four years and have not had any issues."
108942,1.0,2018,"Recently joined, my computer works great"
108943,1.0,2018,Like the update notifications.
108944,1.0,2018,Love it. It actually does speed up an older computer
108945,1.0,2018,Great product and protects and cleans my computers monthly. Wouldnt switch again. I have used other products but switched 2 years ago.
108946,-1.0,2018,Returned it. Very confusing. I went back to Norton.
108947,-1.0,2018,needs to be delieted
108948,1.0,2018,"We've had no issues with our computer since getting PC Matic.  It's been quick, no freeze ups.  So far so good."
108949,1.0,2018,"worth every minute, and when purchased, worth every penny."
108950,1.0,2018,I cant say anything bad about this product. Ive had PC Matic for about three years and I would recommend it to anyone wanting a reasonable priced American product that does what it says.
108951,1.0,2018,Since I've had pcmatic I have not had one single virus or any problems as I did with Norton.
